system,Equipment,label,ref
Equipment Name,Brick:Equipment-Type,Part Name,Brick:Part-Type,Point Name,Brick:Point-Type,Description
DDAHU,AHU,,,OA_TEMP*,Outside_Air_Temperature_Sensor,Outside Air Temperature
DDAHU,AHU,,,MA_TEMP*,Mixed_Air_Temperature_Sensor,Mixed Air Temperature
DDAHU,AHU,,,RA_TEMP*,Return_Air_Temperature_Sensor,Return Air Temperature
DDAHU,AHU,,,CSA_TEMP*,Supply_Air_Temperature_Sensor,Cold Deck Supply Air Temperature
DDAHU,AHU,,,HSA_TEMP*,Supply_Air_Temperature_Sensor,Hot Deck Supply Air Temperature
DDAHU,AHU,,,HSA_TEMPSPT,Supply_Air_Temperature_Setpoint,Hot Deck Supply Air Temperature Setpoint
DDAHU,AHU,,,CSA_TEMPSPT,Supply_Air_Temperature_Setpoint,Cold Deck Supply Air Temperature Setpoint
DDAHU,AHU,Supply Air Fan,Supply_Fan,HSF_CS,Fan_On_Off_Status,Hot Deck Supply Fan Status (On/Off)
DDAHU,AHU,Supply Air Fan,Supply_Fan,CSF_CS,Fan_On_Off_Status,Cold Deck Supply Fan Status (On/Off)
DDAHU,AHU,,,HSA_CFM*,Supply_Air_Flow_Sensor,Hot Deck Supply Air Flow Rate
DDAHU,AHU,,,CSA_CFM*,Supply_Air_Flow_Sensor,Cold Deck Supply Air Flow Rate
DDAHU,AHU,,,OA_CFM*,Outside_Air_Flow_Sensor,Outside Air Flow Rate
DDAHU,AHU,,,RA_CFM*,Return_Air_Flow_Sensor,Return Air Flow Rate
DDAHU,AHU,Supply Air Fan,Supply_Fan,HSF_SPD,Motor_Speed_Sensor,Hot Deck Supply Fan VFD Speed
DDAHU,AHU,Supply Air Fan,Supply_Fan,CSF_SPD,Motor_Speed_Sensor,Cold Deck Supply Fan VFD Speed
DDAHU,AHU,Return Air Fan,Return_Fan,RF_SPD,Motor_Speed_Sensor,RF_SPD
DDAHU,AHU,Supply Air Fan,Supply_Fan,HSF_WAT,Electrical_Power_Sensor,Hot Deck Supply Fan Power
DDAHU,AHU,Supply Air Fan,Supply_Fan,CSF_WAT,Electrical_Power_Sensor,Cold Deck Supply Fan Power
DDAHU,AHU,Return Air Fan,Return_Fan,RF_WAT,Electrical_Power_Sensor,Return Fan Power
DDAHU,AHU,,,HSF_DP,Supply_Air_Differential_Pressure_Sensor,Hot Deck Supply Fan Differential Pressure
DDAHU,AHU,,,CSF_DP,Supply_Air_Differential_Pressure_Sensor,Cold Deck Supply Fan Differential Pressure
DDAHU,AHU,,,RF_DP,Return_Air_Differential_Pressure_Sensor,Return Fan Differential Pressure
DDAHU,AHU,,,HSA_SPSPT,Supply_Air_Static_Pressure_Setpoint,Hot Deck Supply Air Duct Static Pressure Setpoint
DDAHU,AHU,,,HSA_SP*,Supply_Air_Static_Pressure_Sensor,Hot Deck Supply Air Duct Static Pressure
DDAHU,AHU,,,HSA_HUMD*,Supply_Air_Humidity_Sensor,Hot Deck Supply Air Humidity
DDAHU,AHU,,,CSA_SPSPT,Supply_Air_Static_Pressure_Setpoint,Cold Deck Supply Air Duct Static Pressure Setpoint
DDAHU,AHU,,,CSA_SP*,Supply_Air_Static_Pressure_Sensor,Cold Deck Supply Air Duct Static Pressure
DDAHU,AHU,,,CSA_HUMD*,Supply_Air_Humidity_Sensor,Cold Deck Supply Air Humidity
DDAHU,AHU,,,SYS_CTL,Occupied_Mode_Status,Occupied/Unoccupied Control Mode
DDAHU,AHU,,,OA_CFM*,Outside_Air_Flow_Sensor,Outside Air Flow Rate
DDAHU,AHU,Outdoor Air Damper,Outside_Damper,OA_DMPR,Damper_Position_Sensor,Outside Air Damper Position
DDAHU,AHU,Outdoor Air Damper,Outside_Damper,OA_DMPR_DM,Damper_Position_Command,Outside Air Damper (Command)
DDAHU,AHU,,,OA_HUMD*,Outside_Air_Humidity_Sensor,Outside Air Humidity
DDAHU,AHU,Recirculated Air Damper,Return_Damper,RA_DMPR,Damper_Position_Sensor,Recirculated Air Damper Position
DDAHU,AHU,Recirculated Air Damper,Return_Damper,RA_DMPR_DM,Damper_Position_Command,Recirculated Air Damper (Command)
DDAHU,AHU,,,RA_HUMD*,Return_Air_Humidity_Sensor,Return Air Humidity
DDAHU,AHU,Exhaust Air Damper,Exhaust_Damper,EA_DMPR,Damper_Position_Sensor,Exhaust Air Damper Position
DDAHU,AHU,Exhaust Air Damper,Exhaust_Damper,EA_DMPR_DM,Damper_Position_Command,Exhaust Air Damper Control Signal (Command)
DDAHU,AHU,Heating Water Coil,Hot_Water_Coil,HWC_DAT*,Discharge_Air_Temperature_Sensor,Heating Water Coil Discharge Air Temperature
DDAHU,AHU,Heating Water Coil,Hot_Water_Coil,HWC_EWT,Entering_Water_Temperature_Sensor,Heating Water Coil Entering Water Temperature
DDAHU,AHU,Heating Water Coil,Hot_Water_Coil,HWC_LWT,Leaving_Water_Temperature_Sensor,Heating Water Coil Leaving Water Temperature
DDAHU,AHU,Heating Water Coil,Hot_Water_Coil,HWC_MWT,Return_Water_Temperature_Sensor,Heating Water Coil Mixed Water Temperature
DDAHU,AHU,Heating Water Coil,Hot_Water_Coil,HWC_VLV,Valve_Position_Sensor,Heating Water Coil Valve Position
DDAHU,AHU,Heating Water Coil,Hot_Water_Coil,HWC_VLV_DM,Valve_Command,Heating Water Coil Valve Control Signal (Command)
Heating Water Pump,Hot_Water_Pump,,,HWP_GPMC,Entering_Water_Flow_Sensor,Heating Water Pump Water Flow Rate through Coil
Heating Water Pump,Hot_Water_Pump,,,HWP_GPMT,Supply_Water_Flow_Sensor,Heating Water Pump Total Water Flow Rate
DDAHU,AHU,Cooling Coil,Chilled_Water_Coil,CHWC_DAT*,Discharge_Air_Temperature_Sensor,Cooling Coil Discharge Air Temperature
DDAHU,AHU,Cooling Coil,Chilled_Water_Coil,CHWC_EAH*,Relative_Humidity_Sensor,Cooling Coil Entering Air Relative Humidity
DDAHU,AHU,Cooling Coil,Chilled_Water_Coil,CHWC_EWT,Entering_Water_Temperature_Sensor,Cooling Coil Entering Water Temperature
DDAHU,AHU,Cooling Coil,Chilled_Water_Coil,CHWC_LWT,Leaving_Water_Temperature_Sensor,Cooling Coil Leaving Water Temperature
DDAHU,AHU,Cooling Coil,Chilled_Water_Coil,CHWC_MWT,Return_Water_Temperature_Sensor,Cooling Coil Mixed Water Temperature
DDAHU,AHU,Cooling Coil,Chilled_Water_Coil,CHWC_VLV,Valve_Position_Sensor,Cooling Coil Valve Position
DDAHU,AHU,Cooling Coil,Chilled_Water_Coil,CHWC_VLV_DM,Valve_Command,Cooling Coil Valve Control Signal (Command)
Chilled Water Pump,Chilled_Water_Pump,,,CHWP_GPMC,Entering_Water_Flow_Sensor,Chilled Water Pump Water Flow Rate through Coil
Chilled Water Pump,Chilled_Water_Pump,,,CHWP_GPMT,Supply_Water_Flow_Sensor,Chilled Water Pump Total Water Flow Rate
Test Room West,HVAC_Zone,,,RM_TEMP*,Zone_Air_Temperature_Sensor,Room Temperature
Test Room West,HVAC_Zone,,,RMCLGSPT,Zone_Air_Cooling_Temperature_Setpoint,Room Cooling Setpoint
